Wavelength,,,,,
nm,,,,,
Type,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc
AA,Ser,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1,no1_0.1a
614,0.0175394,0.21193,0.141547,-0.229574,-0.48424
615,-0.0181744,0.199652,0.027257,-0.180585,-0.40202
616,-0.0096515,0.197056,-0.0116171,-0.182313,-0.312181
617,-0.00942062,0.164496,0.0501045,-0.209967,-0.0854342
618,0.0482323,0.15936,-0.0291122,-0.217887,0.0638771
619,0.0849423,0.0891155,0.0434274,-0.18182,0.103631
620,0.0985591,0.111445,0.120873,-0.293681,0.164267
621,0.14059,0.123048,0.152783,-0.365245,0.240803
622,0.15103,0.189334,0.23392,-0.448511,0.329612
623,0.0896194,0.199705,0.208897,-0.378773,0.299923
624,0.162158,0.157714,0.227109,-0.314601,0.241037
625,0.0898454,0.1166,0.187396,-0.323896,0.231679
626,0.101549,0.080978,0.207735,-0.360992,0.0509666
627,0.0901592,0.0886371,0.0979075,-0.310131,-0.0669776
628,0.0309448,0.145079,0.0444184,-0.278392,-0.0612402
629,0.0286952,0.268939,-0.0229474,-0.272848,-9.31602E-4
630,-0.0174859,0.283062,-0.138534,-0.196945,-0.112146
631,-0.0123378,0.220525,-0.11888,-0.186201,-0.107426
632,0.0452371,0.252441,-0.203669,-0.218873,-0.230043
633,0.0734166,0.276157,-0.258764,-0.175998,-0.214539
634,0.130437,0.190472,-0.33083,-0.136304,-0.256012
635,0.149928,0.222177,-0.456851,-0.156406,-0.244611
636,0.193336,0.258505,-0.449949,-0.229903,-0.172846
637,0.254721,0.252123,-0.279042,-0.231546,-0.265978
638,0.306555,0.198118,-0.31063,-0.235337,-0.356471
639,0.299214,0.162009,-0.250803,-0.293735,-0.373923
640,0.266105,0.19639,-0.327594,-0.282307,-0.412948
641,0.24779,0.208589,-0.270072,-0.323922,-0.475148
642,0.228436,0.206136,-0.181366,-0.353389,-0.514393
643,0.225345,0.237053,-0.115816,-0.39414,-0.433255
644,0.21481,0.268401,-0.00882331,-0.380215,-0.305881
645,0.213533,0.309502,-0.146325,-0.438696,-0.390753
646,0.179823,0.34945,-0.124345,-0.430522,-0.340843
647,0.149013,0.331947,-0.154681,-0.377914,-0.244867
648,0.157525,0.341029,-0.135178,-0.449414,-0.316664
649,0.206804,0.263127,-0.186089,-0.480226,-0.257741
650,0.226137,0.395198,-0.18972,-0.426795,-0.263005
651,0.239687,0.446201,-0.0795499,-0.356127,-0.138339
652,0.202114,0.496497,0.00336363,-0.351239,-0.0854802
653,0.172954,0.510251,-0.0463383,-0.318769,-0.223139
654,0.185279,0.528639,-0.00968397,-0.301344,-0.11799
655,0.224555,0.484443,-0.0472372,-0.257424,-0.190749
656,0.240598,0.566526,-0.0432362,-0.205316,-0.265763
657,0.259706,0.569111,-0.0869827,-0.193938,-0.275588
658,0.237179,0.586287,-0.107166,-0.168932,-0.233572
659,0.292558,0.558564,-0.0801045,-0.107225,-0.27171
660,0.301168,0.447302,-0.0924176,-0.0869211,-0.202626
661,0.283921,0.35872,-0.116278,-0.0461958,-0.15302
662,0.314856,0.369003,-0.0929285,-0.115398,-0.132841
663,0.258323,0.365265,-0.0933314,-0.113434,-0.157569
664,0.274069,0.393439,-0.0855563,-0.134338,-0.156364
665,0.222925,0.391422,-0.0655985,-0.137747,-0.174984
666,0.236499,0.40176,-0.0486628,-0.1471,-0.192038
667,0.209821,0.422454,-0.0166199,-0.102782,-0.10912
668,0.196807,0.412759,0.00817347,-0.0704635,-0.139105
669,0.187145,0.422604,-0.0242488,-0.102937,-0.21368
670,0.133596,0.469225,-0.119899,-0.103118,-0.317976
671,0.129962,0.447975,-0.21914,-0.132772,-0.332413
672,0.0614745,0.409407,-0.193584,-0.0863297,-0.346389
673,0.0233302,0.37485,-0.0583621,-0.0951704,-0.412027
674,-0.00179536,0.321788,-0.131761,-0.185064,-0.321096
675,0.0177253,0.249976,-0.111909,-0.155903,-0.17577
676,-0.031483,0.266474,-0.180884,-0.209274,-0.264872
677,-7.3658E-5,0.294931,-0.165823,-0.303466,-0.239839
678,0.00128608,0.20429,-0.114984,-0.189083,-0.174911
679,0.0505867,0.20755,-0.108454,-0.148905,-0.218323
680,0.0725777,0.238687,-0.0789325,-0.0779771,-0.324094
681,0.12496,0.305256,-0.120976,-0.133542,-0.362477
682,0.108529,0.352486,-0.278562,-0.105013,-0.351792
683,0.100372,0.387834,-0.267398,-0.00567752,-0.376902
684,0.168384,0.443732,-0.235485,0.030185,-0.410668
685,0.197675,0.371671,-0.259193,0.0860055,-0.531153
686,0.185223,0.426187,-0.325882,0.0690483,-0.671749
687,0.128707,0.524909,-0.387491,-0.0025759,-0.719613
688,0.0814445,0.615781,-0.409741,0.00878332,-0.724336
689,0.0520341,0.676617,-0.37448,-0.0244266,-0.719592
690,0.112059,0.561548,-0.375769,-0.0514005,-0.685337
691,0.119333,0.542793,-0.253003,-0.0476305,-0.690221
692,0.175363,0.42604,-0.210074,-0.109083,-0.646135
693,0.166196,0.342182,-0.243161,-0.155677,-0.665501
694,0.155545,0.295149,-0.192161,-0.134682,-0.515699
695,0.130322,0.240546,-0.154586,-0.11907,-0.398675
696,0.204807,0.160773,-0.172836,-0.0960021,-0.44121
697,0.235129,0.0173673,-0.131835,-0.114255,-0.504405
698,0.339699,-0.0143548,-0.0657865,-0.0967927,-0.3773
699,0.31849,0.0308839,-0.0515174,-0.111591,-0.306023
700,0.298799,0.105478,-0.106108,-0.0050738,-0.195658
701,0.328226,0.181084,-0.208609,,
702,0.3306,0.2915,-0.268459,,
703,0.321634,0.422737,-0.175306,,
704,0.368571,0.409026,-0.168437,,
705,0.321556,0.601326,-0.0252551,,
706,0.25319,0.603452,-0.0326187,,
707,0.272893,0.639974,0.00369902,,
708,0.296523,0.506394,-0.104018,,
709,0.309809,0.489278,-0.0795757,,
710,0.286168,0.464042,0.018392,,
711,0.245959,0.494916,0.182995,,
712,0.228499,0.529207,0.0377003,,
713,0.23306,0.593383,-0.00482675,,
714,0.226488,0.52547,-0.0646477,,
