Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,α-M,α-M,α-M,α-M
experim,BL1,BL2,BL3,BL4
569,0.468302,0.128782,0.510012,0.564267
570,0.465649,0.161434,0.554264,0.489415
571,0.4241,0.189159,0.648658,0.577397
572,0.384418,0.176643,0.695408,0.569167
573,0.443776,0.157244,0.774333,0.649799
574,0.351253,0.0138521,0.814203,0.627973
575,0.311143,0.118075,0.742892,0.695837
576,0.367626,0.187683,0.780372,0.686365
577,0.342362,0.259863,0.893154,0.694091
578,0.354791,0.298303,0.898065,0.792243
579,0.317752,0.37872,0.805881,0.819242
580,0.413492,0.338331,0.695643,0.874485
581,0.473484,0.461403,0.69188,0.915009
582,0.544604,0.54769,0.57586,0.82342
583,0.562108,0.532223,0.484841,0.840242
584,0.617283,0.464934,0.508618,0.785972
585,0.654993,0.516449,0.336429,0.741308
586,0.720999,0.506003,0.323804,0.792737
587,0.617472,0.404666,0.268723,0.84643
588,0.628614,0.471141,0.30721,0.860649
589,0.486009,0.407717,0.280014,0.794149
590,0.438234,0.430653,0.322972,0.814309
591,0.301286,0.52221,0.303037,0.816001
592,0.323666,0.689554,0.320172,0.872878
593,0.368685,0.642742,0.34388,0.828725
594,0.363987,0.674113,0.379125,0.875264
595,0.354829,0.531967,0.433859,0.918396
596,0.266968,0.519405,0.350421,0.840272
597,0.253191,0.492262,0.300731,0.786292
598,0.306379,0.632607,0.533492,0.774564
599,0.435733,0.510136,0.419258,0.699887
600,0.345999,0.337371,0.320986,0.733352
601,0.258559,0.135753,0.415525,0.754597
602,0.162222,0.154283,0.34464,0.737209
603,0.168732,0.142801,0.308488,0.674733
604,0.251098,0.188219,0.280408,0.656662
605,0.382814,0.405798,0.311858,0.63845
606,0.441328,0.4051,0.283528,0.638646
607,0.325678,0.211277,0.21233,0.638509
608,0.29295,0.147823,0.264538,0.768378
609,0.469691,0.238309,0.30002,0.730845
610,0.503716,0.128841,0.334083,0.795755
611,0.570723,0.187032,0.205901,0.713865
612,0.531682,0.1053,0.235618,0.760722
613,0.617655,0.295767,0.280037,0.739662
614,0.570014,0.241145,0.298081,0.772254
615,0.504827,0.172444,0.441809,0.623599
616,0.541203,0.406445,0.437296,0.597186
617,0.508202,0.524201,0.427651,0.531251
618,0.363086,0.523952,0.330481,0.46667
619,0.402027,0.670358,0.35002,0.41662
620,0.31956,0.789479,0.387377,0.358525
621,0.312667,0.667971,0.465642,0.305267
622,0.339585,0.730085,0.534493,0.299303
623,0.372897,0.590063,0.57799,0.183601
624,0.359058,0.409733,0.484151,0.202564
625,0.26971,0.242016,0.556125,0.178373
626,0.375347,0.307385,0.522296,0.188084
627,0.442228,0.356565,0.517487,0.100435
628,0.485488,0.210466,0.476746,0.0791111
629,0.581566,0.228555,0.661136,0.0897644
630,0.573973,0.315809,0.547227,0.264195
631,0.368405,0.38163,0.504243,0.337268
632,0.301791,0.32166,0.576885,0.314952
633,0.232223,0.543323,0.687325,0.32214
634,0.0832472,0.470609,0.706125,0.294344
635,0.0977642,0.298204,0.778076,0.243373
636,0.111062,0.244359,0.838616,0.306825
637,0.102779,0.168515,0.927965,0.321381
638,0.108766,0.12747,0.928045,0.468082
639,0.155745,0.0880977,0.843134,0.32384
640,0.0459767,-0.0260184,0.935053,0.288779
641,0.122394,-0.0975672,1.00136,0.265417
642,0.178074,-0.0808737,0.941172,0.297159
643,0.211395,0.0238299,0.914254,0.369761
644,0.300846,0.14474,0.765962,0.376581
645,0.193449,0.206708,0.866914,0.436688
646,0.111845,0.446291,0.762102,0.421727
647,0.207167,0.624735,0.793789,0.402033
648,0.187915,0.621068,0.85995,0.371038
649,0.371694,0.623909,0.796785,0.432424
650,0.307547,0.612502,0.890831,0.38076
651,0.308448,0.767437,0.936939,0.43762
652,0.434574,0.832489,1.05339,0.417743
653,0.59354,0.893755,1.02431,0.514892
654,0.556277,0.891765,1.21578,0.578663
655,0.780295,0.921034,1.17091,0.583311
656,0.726076,0.987078,1.13886,0.596476
657,0.644809,0.758508,1.05312,0.643151
658,0.647168,0.875669,1.22537,0.727521
659,0.61825,0.880383,1.17898,0.921266
660,0.598431,0.669913,0.889224,1.01823
661,0.572443,0.769702,0.817534,1.00105
662,0.607321,0.613045,0.903612,1.06875
663,0.701294,0.605327,0.631133,0.89021
664,0.402279,0.55198,0.655923,0.795864
