Wavelength,,,,
nm,,,,
Type,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc
AA,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1
649,-0.0515941,0.256188,-0.229499,0.290548
650,-0.0469662,0.202166,-0.253574,0.267174
651,-0.0668216,0.233388,-0.22117,0.255531
652,-0.14907,0.267874,-0.237032,0.298525
653,-0.127334,0.24811,-0.216139,0.249937
654,-0.141103,0.191796,-0.075149,0.248062
655,-0.0789518,0.125711,-0.0941504,0.28688
656,-0.0395518,0.182858,-0.0490336,0.25455
657,-0.0751644,0.153126,-0.00706722,0.265481
658,-0.105602,0.246627,-0.0233095,0.367156
659,-0.083282,0.264737,-0.0533619,0.40102
660,-0.040019,0.158879,-0.00968974,0.403414
661,-0.0777515,0.112702,0.023388,0.492205
662,-0.0547224,0.159312,-0.0404069,0.469579
663,-0.097943,0.209114,-0.067861,0.497035
664,-0.0767035,0.298655,-0.0591563,0.506717
665,-0.084119,0.337107,-0.0296139,0.511393
666,-0.0961496,0.334795,-0.0334966,0.516334
667,-0.0662863,0.431689,0.0495813,0.531695
668,-0.0409126,0.481477,0.0668176,0.513077
669,-0.0759254,0.529558,0.145141,0.45257
670,-0.0793718,0.580142,0.139653,0.445055
671,-0.0380327,0.562058,0.0909594,0.38266
672,-0.130982,0.592418,0.0949885,0.401395
673,-0.126867,0.514664,0.07987,0.372855
674,-0.175827,0.482697,0.095552,0.344494
675,-0.172781,0.476116,0.151749,0.385567
676,-0.201338,0.492646,0.0440419,0.313374
677,-0.139264,0.425225,-0.00704718,0.351865
678,-0.160689,0.347662,-0.0254242,0.403235
679,-0.167809,0.344255,-0.0615804,0.467574
680,-0.170631,0.363633,0.023326,0.443952
681,-0.107968,0.46758,0.00560854,0.393328
682,-0.0276034,0.479996,-0.0465761,0.380786
683,0.0118414,0.464907,0.0137638,0.517567
684,0.11594,0.470139,0.0274213,0.602869
685,0.111855,0.496895,0.1165,0.674752
686,0.100406,0.567627,0.162092,0.646571
687,0.169188,0.673436,0.131378,0.777812
688,0.217796,0.727559,0.0938242,0.783212
689,0.221182,0.781358,-0.0306846,0.767897
690,0.248125,0.605557,-0.086385,0.678586
691,0.25777,0.634493,-0.0168063,0.610938
692,0.280876,0.684237,0.0547565,0.540809
693,0.205739,0.675513,-0.0204746,0.476789
694,0.199461,0.598211,-0.0762967,0.523344
695,0.153295,0.530802,0.0230559,0.481466
696,0.18726,0.421905,0.0457075,0.475472
697,0.205147,0.238883,0.0723597,0.449281
698,0.208055,0.236681,0.16801,0.477591
699,0.232643,0.31089,0.300216,0.518594
700,0.164513,0.289213,0.355359,0.507754
701,0.126302,0.271978,0.335232,
702,0.162237,0.257225,0.240377,
703,0.142049,0.305453,0.248929,
704,0.183534,0.319478,0.295728,
705,0.104222,0.422874,0.252124,
706,0.0402041,0.447082,0.262923,
707,-8.8747E-4,0.343917,0.268707,
708,-0.0435855,0.323957,0.207574,
709,-0.0663116,0.362224,0.180918,
710,-0.0749238,0.409294,0.134485,
711,-0.111269,0.450902,0.205089,
712,-0.080925,0.422248,0.161133,
713,-0.170148,0.455653,0.0794859,
714,-0.119008,0.414991,0.132444,
715,-0.0955482,0.449509,0.189696,
716,-0.113884,0.582523,0.170475,
717,-0.1472,0.684154,0.379343,
718,-0.102758,0.676456,0.494221,
719,-0.0856274,0.682233,0.428164,
720,-0.0815393,0.537754,0.463102,
721,-0.064171,0.616373,0.527527,
722,-0.0782823,0.628432,0.499017,
723,-0.0949087,0.568246,0.645747,
724,-0.0553395,0.530093,0.76712,
725,-0.0189506,0.557725,0.894496,
726,-0.0524078,0.606575,0.765858,
727,0.0190891,0.521828,0.61921,
728,-0.0667647,0.481222,0.647642,
729,-0.0343587,0.600489,0.583105,
730,-0.122006,0.540753,0.514503,
731,-0.10438,0.581919,0.658118,
732,-0.152833,0.622661,0.571617,
733,-0.195691,0.721335,0.506856,
734,-0.294812,0.666261,0.434027,
735,-0.244028,0.563139,0.379053,
736,-0.365742,0.600115,0.480133,
737,-0.327329,0.668338,0.633462,
738,-0.363784,0.767602,0.637182,
739,-0.330706,0.879646,0.672438,
740,-0.355423,0.912193,0.636635,
741,-0.384921,0.872014,0.679531,
742,-0.332668,0.795069,0.643976,
743,-0.26128,0.886322,0.633703,
744,-0.238211,0.895022,0.658603,
745,-0.209141,0.890404,0.600798,
746,-0.158567,0.833508,0.468062,
747,-0.184579,0.748625,0.37931,
748,-0.240812,0.656032,0.25543,
749,-0.211295,0.613784,0.333111,
750,-0.156352,0.630105,0.270061,
751,-0.130993,0.700305,0.232749,
752,-0.0545959,0.71665,0.288732,
753,-0.0446838,0.708225,0.271835,
754,-0.0518176,0.740031,0.275436,
755,-0.0550487,0.746895,0.197249,
756,0.0206681,0.797118,0.33422,
757,0.0961198,0.878766,0.379335,
758,0.123386,0.980116,0.339737,
759,0.182067,0.964218,0.372678,
760,0.205015,0.863769,0.403502,
