N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
DP,0.1,1.0,1.0,0.5,0.1,1.0,0.5,0.5,0.5,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.5,1.0,0.1,0.1,0.5
Speed,50,50,50,50,50,20,20,100,50,50,50,50,50,100,50,50,20,100,20,50,20,100
BW,8,8,5,5,5,5,5,8,5,8,8,8,8,8,8,8,8,8,8,8,5,8
DIT,8,8,8,8,8,16,16,4,4,8,8,8,8,2,8,8,16,4,16,8,16,4
Acc,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,3,1,1,1,4
357,0.0818801,-0.204976,-0.763935,-0.0328659,0.0843206,0.163274,-0.346312,0.224777,0.422224,0.0818801,0.131981,0.0478311,0.0115089,0.153644,-0.00542434,0.0834237,1.27513,0.542941,0.527228,-0.0143322,0.321744,0.225494
358,0.0104317,-0.117171,-0.738609,-0.0770188,0.0644124,0.1571,-0.320233,0.171556,0.299184,0.0104317,0.0645797,0.07846,0.149054,0.0648285,0.0423264,0.143738,1.14312,0.570314,0.533602,0.0107509,0.266803,0.227231
359,-0.00793057,-0.0636095,-0.763782,-0.078171,-0.0150251,0.166475,-0.22716,0.166468,0.185799,-0.00793057,0.00471097,0.137932,0.177896,0.156006,0.012464,0.134956,1.09957,0.58654,0.651874,-0.0179425,0.232096,0.278514
360,-0.00982197,-0.0948811,-0.696343,-0.0437516,0.0114211,0.189873,-0.23006,0.0906193,0.385514,-0.00982197,0.0409737,0.198785,0.229048,0.130731,0.0313195,0.230546,0.93581,0.566181,0.565365,0.0731902,0.279662,0.344447
361,0.101686,-0.143361,-0.640873,-0.156571,-0.0806671,0.110276,-0.175191,0.0869002,0.385646,0.101686,0.0966776,0.227407,0.24305,-0.0363934,0.112411,0.27241,0.801196,0.535089,0.572707,0.112384,0.196464,0.394271
362,0.0706691,-0.171201,-0.671662,-0.159858,0.15685,0.0751363,-0.138254,0.133496,0.162355,0.0706691,0.198443,0.237742,0.22837,0.0502495,0.207414,0.108336,0.614307,0.50081,0.671384,0.161962,0.156288,0.473262
363,0.0829615,-0.201612,-0.530935,-0.224084,0.124629,0.0781847,-0.146856,0.186081,0.070614,0.0829615,0.288618,0.296361,0.164376,0.0587186,0.199101,0.150581,0.383244,0.585283,0.603295,0.137363,0.157621,0.577966
364,0.0683785,-0.172201,-0.48492,-0.370381,0.0102585,0.136604,-0.194177,0.144815,0.119495,0.0683785,0.262544,0.39365,0.137441,0.0492337,0.240839,0.225198,0.386952,0.56285,0.672438,0.251368,0.115296,0.606293
365,0.150843,-0.185933,-0.385181,-0.336758,0.106411,0.0141168,-0.212374,0.14876,-0.0810421,0.150843,0.230234,0.46055,0.139568,0.155842,0.206102,0.144856,0.346339,0.565154,0.521911,0.286113,0.0176579,0.615468
366,0.170337,-0.21182,-0.363135,-0.460259,0.0874386,0.00970409,-0.239818,0.0745982,0.0255077,0.170337,0.297362,0.435484,0.143019,0.244763,0.255183,0.171095,0.251978,0.541001,0.592855,0.237047,0.0688403,0.682567
367,0.13283,-0.197769,-0.238406,-0.297664,0.115302,0.0630105,-0.246019,0.140372,0.195309,0.13283,0.429803,0.416606,0.135426,0.414866,0.279128,0.123885,0.341479,0.593175,0.586889,0.333377,0.0911447,0.660182
368,0.0556188,-0.293453,-0.342243,-0.246105,0.218975,0.0351144,-0.313566,0.197653,0.361742,0.0556188,0.518161,0.51756,0.142113,0.480673,0.289284,0.111508,0.480494,0.566272,0.505535,0.386882,0.168195,0.658602
369,0.0318876,-0.288622,-0.188024,-0.23757,0.303289,0.127102,-0.307145,0.263705,0.585494,0.0318876,0.540422,0.470775,0.206851,0.651831,0.289165,0.0924477,0.519304,0.640346,0.412375,0.40691,0.247893,0.620559
370,0.0720726,-0.204536,-0.315665,-0.360617,0.257397,0.152953,-0.286773,0.353424,0.630546,0.0720726,0.538883,0.538083,0.233383,0.555616,0.312225,0.0389302,0.60112,0.756323,0.430571,0.477761,0.224286,0.545958
371,-0.108801,-0.292268,-0.344146,-0.336978,0.234692,0.191745,-0.235147,0.357898,0.56785,-0.108801,0.651576,0.591711,0.293893,0.535658,0.277871,0.0592854,0.695357,0.809637,0.452018,0.406547,0.399626,0.533846
372,-0.130539,-0.211885,-0.302523,-0.177989,0.137707,0.131551,-0.157585,0.291116,0.809912,-0.130539,0.778294,0.646306,0.342359,0.275451,0.26413,0.202593,0.925066,0.707997,0.444763,0.352452,0.489247,0.455033
373,-0.209368,-0.203345,-0.296765,-0.154605,0.0833474,0.200541,-0.0980365,0.242918,0.801792,-0.209368,0.681468,0.677099,0.30559,0.388821,0.263758,0.265805,0.910654,0.684879,0.457114,0.457635,0.650991,0.430141
374,-0.272601,-0.168694,-0.308359,-0.235144,0.131627,0.226564,-0.0118382,0.270054,1.04228,-0.272601,0.62773,0.62984,0.30134,0.552187,0.352237,0.237443,0.92586,0.714692,0.447444,0.423039,0.678936,0.476146
375,-0.306897,-0.212722,-0.467991,-0.103796,0.188211,0.159066,-0.123866,0.230053,1.10374,-0.306897,0.721692,0.629155,0.357672,0.656024,0.299999,0.22689,0.758305,0.718746,0.591442,0.473418,0.867394,0.480899
376,-0.457646,-0.203323,-0.486146,-0.0531669,0.0975483,0.202452,-0.117568,0.369529,1.33637,-0.457646,0.652221,0.596742,0.379551,0.543094,0.306543,0.287268,0.633463,0.744463,0.677261,0.494185,0.847341,0.508653
377,-0.426488,-0.139961,-0.567625,-0.0929874,0.0419747,0.136696,-0.185128,0.361748,1.19679,-0.426488,0.779435,0.579328,0.340477,0.763098,0.311442,0.287296,0.643747,0.719687,0.561177,0.424028,0.952308,0.528446
378,-0.403544,-0.320808,-0.553115,-0.169535,-0.166575,0.174341,-0.0693317,0.340221,0.977924,-0.403544,0.74197,0.591314,0.363187,0.622054,0.305123,0.306558,0.545439,0.605567,0.54786,0.511214,0.917718,0.575846
379,-0.622798,-0.317235,-0.480304,0.0490095,-0.143648,0.215859,-0.0134973,0.268844,0.663444,-0.622798,0.637463,0.473168,0.181551,0.519514,0.231006,0.288797,0.477241,0.56178,0.536706,0.353545,0.814154,0.589538
380,-0.652535,-0.36667,-0.392864,-0.11971,-0.184344,0.254983,0.00460937,0.191665,0.601833,-0.652535,0.511235,0.401653,0.211048,0.434419,0.215066,0.269116,0.482265,0.486159,0.614747,0.318317,0.648348,0.450534
381,-0.585539,-0.309601,-0.393311,-0.108074,-0.0291876,0.278569,0.066612,0.214083,0.546833,-0.585539,0.24548,0.307764,0.112986,0.634099,0.192607,0.260196,0.546316,0.500062,0.679242,0.379357,0.565881,0.425327
382,-0.690935,-0.297795,-0.516153,-0.21219,-0.128744,0.340248,0.060753,0.288706,0.266677,-0.690935,0.213318,0.332798,0.213457,0.416987,0.221348,0.323545,0.558147,0.559269,0.588085,0.285773,0.510674,0.519606
383,-0.618839,-0.267648,-0.544815,-0.165852,-0.104471,0.295862,0.122495,0.191885,0.181772,-0.618839,0.226417,0.366848,0.39101,0.392346,0.237139,0.328961,0.530025,0.609335,0.523031,0.283423,0.455203,0.37127
384,-0.514717,-0.248546,-0.506314,-0.133156,-0.0781546,0.297963,0.267606,0.208154,0.308323,-0.514717,0.265282,0.337821,0.322401,0.314578,0.250831,0.406556,0.646765,0.542278,0.572083,0.299568,0.466863,0.381889
385,-0.332939,-0.227119,-0.425105,-0.132441,-0.119554,0.374236,0.366197,0.182263,0.402515,-0.332939,0.267719,0.480267,0.238801,0.54836,0.23967,0.433255,0.671535,0.537295,0.616106,0.308058,0.491338,0.308853
386,-0.229632,-0.293183,-0.629828,-0.0628717,-0.141808,0.407064,0.204078,0.0473252,0.471278,-0.229632,0.0726239,0.513269,0.138507,0.367675,0.218824,0.331296,0.660684,0.586504,0.630866,0.308099,0.53986,0.274929
